carat,depth,table,x,y,z,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.17811704834605596,0.43790849673202636,0.5,0.3929146537842191,0.39309210526315796,0.35011990407673876,3629,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.03307888040712468,0.5620915032679736,0.3500000000000001,0.10789049919484706,0.10690789473684204,0.11750599520383698,1040,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.17811704834605596,0.24836601307189543,0.3500000000000001,0.4090177133655394,0.412828947368421,0.32134292565947253,3726,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0356234096692112,0.44444444444444464,0.3999999999999999,0.12077294685990347,0.13322368421052633,0.11510791366906481,1014,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.17811704834605596,0.7058823529411766,0.3999999999999999,0.37037037037037035,0.3782894736842105,0.3932853717026379,3084,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.027989821882951647,0.49673202614379086,0.5499999999999998,0.09500805152979064,0.09703947368421051,0.09592326139088736,465,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.3333333333333333,0.6274509803921573,0.4500000000000002,0.5571658615136875,0.5773026315789473,0.5539568345323742,9841,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.0356234096692112,0.6405228758169939,0.3500000000000001,0.1159420289855072,0.11348684210526316,0.13669064748201443,571,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.027989821882951647,0.6797385620915035,0.2999999999999998,0.09017713365539448,0.09046052631578949,0.11990407673860914,593,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.20865139949109412,0.6339869281045756,0.4500000000000002,0.41062801932367143,0.4325657894736843,0.41966426858513195,4617,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.07633587786259541,0.3594771241830066,0.5499999999999998,0.22383252818035426,0.23519736842105265,0.18944844124700244,1657,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.12977099236641218,0.5620915032679736,0.3999999999999999,0.31078904991948464,0.33223684210526316,0.31175059952038375,2404,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.04834605597964376,0.5882352941176467,0.2999999999999998,0.14170692431562004,0.1529605263157895,0.15827338129496404,707,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.20610687022900764,0.7189542483660132,0.5,0.4057971014492753,0.42269736842105265,0.4340527577937652,4766,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4631043256997456,0.5294117647058822,0.5,0.7020933977455718,0.7088815789473684,0.6522781774580337,15606,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0381679389312977,0.5359477124183005,0.3500000000000001,0.12399355877616747,0.13322368421052633,0.1318944844124701,478,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.02544529262086514,0.6732026143790852,0.25,0.07890499194847034,0.09210526315789469,0.11510791366906481,620,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0559796437659033,0.594771241830065,0.3999999999999999,0.1561996779388084,0.16776315789473684,0.17266187050359716,847,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.3333333333333333,0.5751633986928111,0.5,0.5764895330112721,0.5740131578947367,0.5467625899280577,13074,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.20610687022900764,0.6078431372549025,0.6000000000000001,0.41706924315619964,0.4375,0.41966426858513195,4743,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02544529262086514,0.5163398692810457,0.4500000000000002,0.07890499194847034,0.08881578947368407,0.08872901678657075,838,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.02544529262086514,0.5686274509803919,0.2999999999999998,0.08856682769726254,0.08881578947368407,0.1007194244604318,1013,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3689567430025445,0.5359477124183005,0.3500000000000001,0.6183574879227053,0.6447368421052633,0.5875299760191848,10847,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.027989821882951647,0.49673202614379086,0.2999999999999998,0.10144927536231885,0.11184210526315785,0.10551558752997614,864,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
